video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=YgAvVX3G2Kc&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@americanslivingabroad,Americans Living Abroad,"72 year-old retired American lives his best life in Da Nang, Vietnam - Tour His $760 Month Condo",205K,1 month,"Michael is a 72 year-old American who has lived and traveled all around the world with his wife. They chose Da Nang, not just ...",2026-01-21 23:15:26.653288
/watch?v=zDdn8mSzqWo&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@iamjohnsaboe,John Saboe,"Danang, Vietnam - Where To Stay",509K,1 year,"In this video ""Danang Where To Stay"", you'll find a comprehensive overview of the most favored places to stay by foreign visitors ...",2026-01-21 23:15:26.654223
/shorts/j_wfR4vBBXA,/@trainstreetmarket,Street food market ,Sân bay Đà Nẵng : Danang International Airport : #danangvietnam #danangcity #sânbay #sanbaydanang,3.1K,6 months,Sân bay Đà Nẵng : Danang International Airport : Danang international airport departure : travel danang: da nang international ...,2026-01-21 23:15:26.656017
/watch?v=0vTitT3YfMM&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@AsiaStreet365,Asia Street 365,3rd Jan 2026 Da Nang Vietnam,1.4K,2 weeks,"danang #thailand #vietnam Sun is out on this winters day in Da Nang, perfect time to enjoy the beach and work on ya tan.",2026-01-21 23:15:26.656794
/watch?v=vTYo3UKzWjw&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@tintinlens1989,TinTin's Lens,"Why 15,000 Locals Are Leaving Vietnam’s Most Livable city: Da Nang",3.7K,2 months,"Da Nang is often hailed as the ""most livable city"" in Vietnam, a tropical paradise famous for its pristine beaches and the iconic ...",2026-01-21 23:15:26.657514
/watch?v=E9Za4icEkbc&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@americanslivingabroad,Americans Living Abroad,30 year-old American Vet Is Living and Investing in Da Nang Vietnam - Tour his $600 Apartment,52K,2 weeks,"Abdul is a U.S. Marine veteran who was born in Iraq and lived between there and the U.S. After selling his business at 27, he ...",2026-01-21 23:15:26.658273
/shorts/GxwyFldpKAA,/@dimodaytravel,Dimoday Travel,"Difficulties Living in Da Nang, Vietnam",83K,1 year,"Thinking of making the move to Da Nang, Vietnam? You're not alone! Many expats have made the switch, but what's really ...",2026-01-21 23:15:26.660052
/watch?v=8lvmyX4Xg4g&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@JordanDiscovers,JordanDiscovers,Awaken Danang Vietnam 🇻🇳 5 Star Beachfront Hotel 4K Full HD Review 2025,1.6K,1 month,I checked into Awaken Danang to see how it compares with the many luxury hotels lining Danang's beachfront. From the sleek ...,2026-01-21 23:15:26.661034
/shorts/8LbwUAdD1PY,/@GypsyEscape,GypsyEscape,Everyone Skips this in Da Nang - But Why?!! #danang #vietnam,3K,10 months,vietnamtravel #danangtravel #mykhebeach.,2026-01-21 23:15:26.661679
/watch?v=NjAzSw9eC7s&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@iPaulLee,Paul Lee,First Impressions of Da Nang Vietnam | Why is EVERYONE moving here? (Travel Vlog),22K,4 months,Get 4 bonus months on a 2-year plan here ➼ https://nordvpn.com/paullee It's risk-free with Nord's 30-day money-back guarantee!,2026-01-21 23:15:26.662403
/shorts/0-iCYIQqvcE,/@dascaramel_vn,Dasha Potapova,"Ăn thử 3 loại chân gà: rẻ nhất, đắt nhất, cay nhất Đà Nẵng!",6.1M,7 months,"Một cô gái người Nga thử 3 loại chân gà nổi tiếng nhất Đà Nẵng: loại rẻ nhất, đắt nhất và cay nhất! Đây là một hành trình foodtour ...",2026-01-21 23:15:26.663073
/watch?v=njiZSrDQC7w&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@CAFELANDVIETNAM,CAFELAND,"Đà Nẵng sắp “BIẾN ĐỘNG LỚN” nhờ quy hoạch này, khu vực nào HƯỞNG LỢI LỚN? | CafeLand",5.3K,2 days,Xem thêm video về bảng giá đất Đà Nẵng: https://www.youtube.com/watch?v=3l6LJ-nA7ec&t=2s ▻ Tải App CafeLand Proptech: ...,2026-01-21 23:15:26.663704
/watch?v=9rbeRiY5pck&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@danangwithkiet,Da Nang With Kiet,Tổng Hợp Những Khoảnh Khắc Đẹp Của Bãi Biển Du Lịch Mỹ Khê Đà Nẵng Về Đêm - Mới Nhất Tháng 1-2026,679,10 hours,"Mời các bạn xem video về du lịch biển Mỹ Khê Đà Nẵng về đêm. Video tổng hợp lại những khoảnh khắc đẹp, nhộn nhịp, yên bình ...",2026-01-21 23:15:26.664932
/watch?v=0xyukAlsI-w&pp=ygUgZGFuYW5nLCBkYSBuYW5nLCBkYSBuYW5nIHZpZXRuYW0%3D,/@iPaulLee,Paul Lee,Da Nang Vietnam Is The Most Modern Affordable City I’ve Ever Seen,18K,3 months,Join My Nomad Network to Earn Remotely & Relocate: https://www.skool.com/global-nomads/” FREE Remote Work Guide: ...,2026-01-21 23:15:26.666408
/shorts/KPja6Gr0SLo,/@YasminesJourney,Yasmine’s Journey,Vietnam is a food paradise! How expensive is eating out in Da Nang? #danang #vietnam #food #fy #fyp,2.2K,2 months,We moved to Da Nang for a month to see how life is here as a digital nomad and what is all the recent hype about. Is Vietnam a ...,2026-01-21 23:15:26.667155
